time (seconds),encoderLeft (meters),encoderRight (meters)
0.102,0,0
0.202,0,0
0.301,0,0
0.402,2.97E-07,2.35E-07
0.496,-8.62E-07,-1.18739E-06
0.602,-2.13721E-06,-2.63318E-06
0.702,-3.4775E-06,-4.14405E-06
0.801,-4.75032E-06,-5.58702E-06
0.902,-6.09674E-06,-7.1069E-06
1.001,0.000158542,0.000159905
1.102,0.020822091,0.027083425
1.201,0.043020524,0.05490265
1.304,0.066393413,0.083454564
1.402,0.091309093,0.11303024
1.505,0.116947114,0.143107086
1.6,0.143787339,0.174046457
1.701,0.17119503,0.205404952
1.802,0.199151456,0.237174794
1.901,0.228380337,0.269922495
2.001,0.258299887,0.303214341
2.102,0.289092243,0.337206215
2.202,0.320504993,0.371702969
2.302,0.352766752,0.406900883
2.401,0.38581413,0.442757964
2.498,0.419249356,0.478943169
2.6,0.453582168,0.51589644
2.701,0.487925321,0.552859128
2.798,0.523355424,0.590767801
2.901,0.559302628,0.629131377
3.002,0.595938802,0.668107152
3.102,0.633001924,0.707466006
3.201,0.670712233,0.747408628
3.302,0.708712757,0.787616253
3.402,0.747241557,0.828308463
3.501,0.786103427,0.869307697
3.589,0.825449586,0.91075784
3.703,0.865037441,0.952435195
3.802,0.905054927,0.994518876
3.893,0.945078313,1.036607504
4.002,0.985643506,1.079218149
4.095,1.026533961,1.122148633
4.202,1.067603707,1.165257692
4.295,1.108781219,1.20847559
4.4,1.150084734,1.251823425
4.5,1.191615343,1.295413017
4.602,1.233212471,1.339076757
4.703,1.274875402,1.382817149
4.801,1.316632867,1.426682234
4.903,1.358420968,1.470607758
5.002,1.400203347,1.5145576
5.102,1.441966295,1.558509111
5.202,1.483693004,1.602449536
5.301,1.525315166,1.646338224
5.402,1.566804171,1.690146923
5.501,1.608197927,1.733893514
5.602,1.64936161,1.777483463
5.702,1.690414071,1.82099545
5.802,1.731216311,1.8643291
5.902,1.77174139,1.907461166
6.001,1.812149525,1.950507641
6.101,1.852410316,1.993446589
6.202,1.892145991,2.035997152
6.301,1.931664348,2.078386545
6.402,1.970727801,2.120439291
6.502,2.00955081,2.162313223
6.602,2.047780037,2.203748226
6.702,2.085748196,2.244992018
6.802,2.123143911,2.285815477
6.902,2.160227776,2.326411963
7.003,2.196645021,2.366527081
7.103,2.232773542,2.406434774
7.202,2.268541574,2.446085691
7.302,2.303404093,2.485099792
7.399,2.337926865,2.523878813
7.502,2.371808052,2.562217474
7.6,2.405302286,2.60029459
7.702,2.438057661,2.637879848
7.797,2.470383883,2.675183773
7.901,2.501976013,2.712015629
8.002,2.533222914,2.748629332
8.103,2.56362915,2.784724474
8.201,2.593296766,2.820376396
8.3,2.622606516,2.855819225
8.402,2.651128292,2.890811682
8.498,2.679335117,2.925628901
8.601,2.706878185,2.960086584
8.703,2.733798504,2.994219303
8.801,2.760346174,3.028162718
8.9,2.78623271,3.061782122
9.001,2.811738253,3.095222235
9.102,2.836831093,3.128472805
9.202,2.861365557,3.161479473
9.301,2.885661602,3.194385529
9.402,2.90941453,3.227075338
9.502,2.932794094,3.259626627
9.603,2.956020594,3.292124987
9.702,2.979077101,3.32456708
9.802,3.001906633,3.356944084
9.902,3.024657726,3.389304638
10.002,3.047330379,3.421665192
10.1,3.070019245,3.454062223
10.198,3.092764139,3.48650074
10.302,3.115705729,3.519056797
10.402,3.138781309,3.55168581
10.502,3.162027597,3.584405661
10.602,3.185483217,3.617233753
10.702,3.209554195,3.650377035
10.802,3.233943224,3.683683395
10.902,3.258904457,3.717285633
11.001,3.284161568,3.751043081
11.101,3.310189009,3.785212994
11.199,3.336867332,3.819739103
11.302,3.363909483,3.854468584
11.398,3.391849279,3.889711857
11.502,3.420321226,3.925266743
11.601,3.449642658,3.961330891
11.702,3.479416609,3.997673035
11.802,3.510315895,4.034720898
11.9,3.541793823,4.072141647
12.003,3.57419157,4.110167027
12.102,3.607052326,4.148501396
12.2,3.640949011,4.187541485
12.302,3.675725698,4.227193356
12.402,3.711397171,4.267479897
12.502,3.747587919,4.308138847
12.605,3.784753799,4.349508762
12.7,3.822565079,4.391355991
12.802,3.861437559,4.433997154
12.899,3.900845528,4.477044582
13.002,3.941260338,4.520862103
13.101,3.982172251,4.565063953
13.197,4.024197578,4.610135078
13.301,4.066686153,4.655571461
13.402,4.109744072,4.701457977
13.501,4.153970242,4.748276234
13.601,4.198514938,4.795350075
13.701,4.244010925,4.84319067
13.799,4.290359497,4.891723633
13.9,4.33706522,4.940547466
14.002,4.384594917,4.990045071
14.102,4.432954788,5.040222645
14.201,4.481697083,5.090714455
14.301,4.530789375,5.141494274
14.402,4.58086586,5.193083286
14.501,4.631634235,5.245242596
14.602,4.682701588,5.297647953
14.702,4.734344959,5.35052681
14.8,4.786667347,5.403962135
14.901,4.839266777,5.457623482
15.002,4.892459393,5.511767864
15.102,4.945969105,5.566168785
15.202,4.999999046,5.620988369
15.302,5.054268837,5.676000118
15.402,5.109035492,5.731403828
15.5,5.164269447,5.787172318
15.602,5.21967268,5.84307003
15.702,5.275518894,5.899301052
15.81,5.331528664,5.955652237
15.901,5.387702942,6.012123108
16,5.444191456,6.068813324
16.102,5.50095892,6.125686169
16.201,5.557912827,6.182672501
16.303,5.614956379,6.23970747
16.402,5.672112942,6.296800613
16.497,5.729437351,6.353960037
16.602,5.786837578,6.411135674
16.702,5.844288349,6.468309402
16.802,5.901800632,6.525444031
16.903,5.959326744,6.582524776
17.002,6.016849518,6.639550209
17.117,6.074332714,6.696441174
17.198,6.131748199,6.753181934
17.302,6.189116001,6.809827805
17.401,6.246317863,6.866188526
17.5,6.303460598,6.922455311
17.602,6.360395432,6.978404999
17.699,6.417230129,7.034208298
17.801,6.473853588,7.089710236
17.901,6.530226707,7.14486599
18.002,6.586320877,7.199643135
18.102,6.64231205,7.254282475
18.201,6.697901726,7.308389187
18.294,6.75320816,7.362125874
18.403,6.808332443,7.415625572
18.502,6.863050461,7.46860075
18.602,6.917615891,7.521379948
18.703,6.971701622,7.573544025
18.802,7.025375366,7.625181675
18.902,7.078728676,7.676409721
19.002,7.131608963,7.727036476
19.102,7.184223652,7.777325153
19.202,7.236314774,7.826946735
19.3,7.288118839,7.876202583
19.402,7.339385986,7.924771786
19.501,7.39009428,7.972624302
19.602,7.440517426,8.020109177
19.701,7.490474224,8.066993713
19.802,7.54011488,8.113470078
19.887,7.589133263,8.159134865
20.003,7.637834549,8.204386711
20.1,7.685788155,8.248652458
20.2,7.733472824,8.292561531
20.301,7.780584812,8.335708618
20.402,7.827339649,8.3783741
20.502,7.873513699,8.420254707
20.602,7.919404984,8.461748123
20.701,7.964730263,8.502462387
20.802,8.009725571,8.542718887
20.9,8.054203987,8.582250595
21.002,8.098132133,8.621001244
21.102,8.141858101,8.659463882
21.202,8.185063362,8.697173119
21.294,8.228059769,8.73458004
21.402,8.270583153,8.771288872
21.502,8.312848091,8.80761528
21.597,8.354722977,8.843356133
21.701,8.396215439,8.878520012
21.801,8.43752861,8.913408279
21.903,8.47865963,8.948019028
22.002,8.519417763,8.982055664
22.101,8.559930801,9.015713692
22.2,8.600219727,9.049025536
22.303,8.640413284,9.082188606
22.4,8.680393219,9.115024567
22.502,8.720205307,9.147608757
22.601,8.75994873,9.180090904
22.702,8.799617767,9.21246624
22.802,8.839172363,9.244688988
22.902,8.878698349,9.276877403
23.002,8.918186188,9.309045792
23.1,8.957672119,9.341230392
23.201,8.997180939,9.373495102
23.302,9.036733627,9.405865669
23.402,9.07632637,9.438324928
23.5,9.116038322,9.471032143
23.602,9.15585804,9.503951073
23.702,9.195764542,9.537037849
23.801,9.235842705,9.570446014
23.901,9.276039124,9.604072571
24,9.316451073,9.638083458
24.102,9.356980324,9.672305107
24.202,9.39777565,9.706986427
24.309,9.43871212,9.741909027
24.403,9.480017662,9.777451515
24.5,9.521442413,9.81319046
24.602,9.563247681,9.849550247
24.698,9.60524559,9.886219025
24.802,9.647602081,9.923457146
24.902,9.690148354,9.960992813
25.001,9.733057022,9.999088287
25.1,9.776335716,10.03775215
25.202,9.819923401,10.07688236
25.3,9.863657951,10.11623383
25.391,9.907623291,10.15593052
25.502,9.951853752,10.19601917
25.598,9.99647522,10.2366848
25.702,10.0414753,10.27790546
25.802,10.08675575,10.31953526
25.9,10.1322546,10.36148071
25.998,10.17809296,10.40392017
26.1,10.22411823,10.44662857
26.202,10.27030087,10.4895668
26.301,10.31688404,10.53308392
26.401,10.36361885,10.57682323
26.502,10.41064739,10.62099171
26.604,10.45791912,10.66552162
26.7,10.50532532,10.71025085
26.799,10.55295277,10.75531483
26.902,10.6006794,10.80053425
27.001,10.64860821,10.84607315
27.102,10.69661045,10.89173412
27.199,10.74477863,10.93767929
27.3,10.79299927,10.98372364
27.402,10.84130669,11.02994442
27.498,10.88964176,11.07623291
27.601,10.93802166,11.12266636
27.701,10.98640537,11.16915035
27.798,11.03476524,11.21569443
27.901,11.08310223,11.26224995
28.002,11.13137245,11.30880356
28.103,11.17954445,11.35532284
28.205,11.22765446,11.40181065
28.293,11.27556515,11.44817638
28.401,11.32337666,11.49447346
28.501,11.37091446,11.5405674
28.602,11.41834736,11.58657837
28.702,11.46566677,11.63249874
28.796,11.51259518,11.67809582
28.902,11.55928802,11.72348976
29.002,11.6057415,11.7686758
29.102,11.65175152,11.81346989
29.201,11.69752598,11.85805225
29.303,11.74301434,11.90237427
29.408,11.78788662,11.94613266
29.5,11.8322382,11.98940659
29.601,11.87628174,12.0323925
29.699,11.91973877,12.07482624
29.801,11.96251488,12.1166153
29.902,12.00501156,12.15814018
29.999,12.04678154,12.19896793
30.102,12.08822155,12.23948002
30.201,12.12888813,12.27924824
30.301,12.16909122,12.31856728
30.4,12.20874977,12.35735893
30.5,12.24749279,12.39526176
30.601,12.28573513,12.43267441
30.702,12.32301903,12.46915054
30.8,12.35968781,12.50502396
30.902,12.39576912,12.5403204
31,12.43086433,12.57464409
31.103,12.46528149,12.6082983
31.202,12.4985857,12.64085102
31.302,12.5307579,12.67227936
31.402,12.56254101,12.70332146
31.502,12.59322739,12.73326683
31.602,12.62333965,12.76263809
31.702,12.65220356,12.79075623
31.802,12.68043423,12.8182373
31.902,12.70740414,12.84444332
32.001,12.73318195,12.86943722
32.102,12.75847054,12.8939333
32.195,12.78256702,12.91720486
32.301,12.80587673,12.93966579
32.403,12.82806873,12.9609642
32.502,12.84889317,12.98082542
32.601,12.86919403,13.00013065
32.699,12.88816738,13.01800919
32.792,12.90645218,13.03513432
32.9,12.92389107,13.05127621
